Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,112.7699966430664,112.80000305175781,111.38999938964844,111.44000244140625,90.31023406982422,90637900
2010-01-04,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,91.8418960571289,118944600
2010-01-05,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,92.0849838256836,111579900
2010-01-06,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,92.1498031616211,116074400
2010-01-07,113.5,114.33000183105469,113.18000030517578,114.19000244140625,92.5388412475586,131091100
2010-01-08,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,92.84675598144531,126402800
2010-01-11,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,92.97643280029297,106375700
2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,92.10929107666016,163333500
2010-01-13,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,92.88729095458984,161822000
2010-01-14,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,93.13848114013672,115718800
2010-01-15,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,92.09309387207031,212283100
2010-01-19,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,93.24386596679688,139172700
2010-01-20,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,92.29568481445312,216490200
2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,90.52094268798828,344859600
2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,88.50303649902344,345942400
2010-01-25,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,88.95687103271484,186937500
2010-01-26,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,88.58409118652344,211168800
2010-01-27,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,89.00550079345703,271863600
2010-01-28,110.19000244140625,110.25,107.91000366210938,108.56999969482422,87.9843978881836,316104000
2010-01-29,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,87.02813720703125,310677600
2010-02-01,108.1500015258789,109.06999969482422,107.5,109.05999755859375,88.38148498535156,187865000
2010-02-02,109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,89.4511947631836,216327900
2010-02-03,109.87999725341797,110.4800033569336,109.51000213623047,109.83000183105469,89.00550079345703,172730700
2010-02-04,108.9800033569336,109.02999877929688,106.41999816894531,106.44000244140625,86.25826263427734,356715700
2010-02-05,106.55999755859375,106.87999725341797,104.58000183105469,106.66000366210938,86.43653869628906,493585800
2010-02-08,106.73999786376953,107.33000183105469,105.80999755859375,105.88999938964844,85.81253814697266,224166900
2010-02-09,107.12999725341797,108.1500015258789,106.2699966430664,107.22000122070312,86.89035034179688,337820500
2010-02-10,107.05000305175781,107.5999984741211,106.11000061035156,107.01000213623047,86.7201919555664,240511500
2010-02-11,106.87000274658203,108.25,106.25,108.12999725341797,87.62784576416016,223591600
2010-02-12,106.98999786376953,108.0999984741211,106.51000213623047,108.04000091552734,87.55489349365234,304622100
2010-02-16,108.86000061035156,109.8499984741211,107.81999969482422,109.73999786376953,88.93252563476562,159317500
2010-02-17,110.2699966430664,110.41000366210938,109.73999786376953,110.26000213623047,89.3539810180664,168845100
2010-02-18,110.08000183105469,111.13999938964844,110.04000091552734,110.91000366210938,89.88072967529297,193708600
2010-02-19,110.62000274658203,111.56999969482422,110.36000061035156,111.13999938964844,90.06710815429688,222684900
2010-02-22,111.55000305175781,111.58000183105469,110.83000183105469,111.16000366210938,90.08332824707031,132346900
2010-02-23,110.86000061035156,111.19999694824219,109.5199966430664,109.80999755859375,88.98929595947266,207497000
